"","GEOID","var","var_type","value"
"629","13059002100","Ind_edhlth","est",668
"630","13059002100","Ind_finan","est",119
"631","13059002100","Ind_info","est",32
"632","13059002100","Ind_manf","est",17
"633","13059002100","Ind_other","est",65
"634","13059002100","Ind_prof","est",117
"635","13059002100","Ind_pubad","est",19
"636","13059002100","Ind_retail","est",173
"637","13059002100","Ind_trans","est",45
"638","13059002100","Ind_whlsl","est",11
"639","13059002100","Inet_any","est",1306
"640","13059002100","Inet_broad","est",1245
"641","13059002100","Pov_Ov65","est",265
"642","13059002100","Pov_Und18","est",202
"643","13059002100","Rce_AI","est",0
"644","13059002100","Rce_AsnNH","est",215
"645","13059002100","Rce_BlkNH","est",207
"646","13059002100","Rce_Hisp","est",184
"647","13059002100","Rce_HPI","est",0
"648","13059002100","Rce_OthNH","est",0
"649","13059002100","Rce_WhtNH","est",3640
"650","13059002100","Rent30","est",644
"651","13059002100","Sch_grad","est",339
"652","13059002100","Sch_Kpre","est",50
"653","13059002100","Sch_ugrad","est",2452
"654","13059002100","Trn_car","est",811
"655","13059002100","Trn_carpool","est",46
"656","13059002100","Trn_home","est",104
"657","13059002100","Trn_noveh","est",57
"658","13059002100","Trn_pub","est",48
"659","13059002100","Trn_taxi","est",58
"660","13059002100","Trn_walk","est",349
"661","13059002200","Age05","est",132
"662","13059002200","Age18_24","est",847
"663","13059002200","AgeO65","est",172
"664","13059002200","AgeU18","est",426
"665","13059002200","Ed_ba","est",496
"666","13059002200","Ed_hsgrad","est",69
"667","13059002200","Ed_lesshs","est",5
"668","13059002200","Ed_ma","est",316
"669","13059002200","Ed_prof_doc","est",245
"670","13059002200","Ed_somecol","est",237
"671","13059002200","Empl_labor","est",1553
"672","13059002200","Empl_unemp","est",12
"673","13059002200","HInsur_FBNat","est",65
"674","13059002200","HInsur_FBNC","est",179
"675","13059002200","HInsur_Nat","est",1907
"676","13059002200","HousOwn","est",621
"677","13059002200","HousRent","est",1934
"678","13059002200","Inc_10K","est",68
"679","13059002200","Inc_200K","est",69
"680","13059002200","Inc100K_149K","est",100
"681","13059002200","Inc10K_24K","est",252
"682","13059002200","Inc150K_199K","est",64
"683","13059002200","Inc25K_49K","est",191
"684","13059002200","Inc50K_74K","est",221
"685","13059002200","Inc75K_99K","est",130
"686","13059002200","Ind_ag","est",0
"687","13059002200","Ind_arts","est",325
"688","13059002200","Ind_const","est",20
"689","13059002200","Ind_edhlth","est",743
"690","13059002200","Ind_finan","est",75
"691","13059002200","Ind_info","est",0
"692","13059002200","Ind_manf","est",35
"693","13059002200","Ind_other","est",37
"694","13059002200","Ind_prof","est",174
"695","13059002200","Ind_pubad","est",56
"696","13059002200","Ind_retail","est",108
"697","13059002200","Ind_trans","est",30
"698","13059002200","Ind_whlsl","est",10
"699","13059002200","Inet_any","est",1049
"700","13059002200","Inet_broad","est",920
"701","13059002200","Pov_Ov65","est",172
"702","13059002200","Pov_Und18","est",426
"703","13059002200","Rce_AI","est",0
