"","GEOID","NAME","variable","estimate","moe","source"
"192","13059130602","Census Tract 1306.02, Clarke County, Georgia","C18120_001",2170,651,"American Community Survey, 5 year sample, 2016-2020"
"193","13059130602","Census Tract 1306.02, Clarke County, Georgia","C18120_002",1349,365,"American Community Survey, 5 year sample, 2016-2020"
"194","13059130602","Census Tract 1306.02, Clarke County, Georgia","C18120_006",22,35,"American Community Survey, 5 year sample, 2016-2020"
"195","13059130602","Census Tract 1306.02, Clarke County, Georgia","C18130_002",307,237,"American Community Survey, 5 year sample, 2016-2020"
"196","13059130602","Census Tract 1306.02, Clarke County, Georgia","C18130_016",690,216,"American Community Survey, 5 year sample, 2016-2020"
"197","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_001",1448,373,"American Community Survey, 5 year sample, 2016-2020"
"198","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_002",0,14,"American Community Survey, 5 year sample, 2016-2020"
"199","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_003",66,51,"American Community Survey, 5 year sample, 2016-2020"
"200","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_004",20,32,"American Community Survey, 5 year sample, 2016-2020"
"201","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_005",0,14,"American Community Survey, 5 year sample, 2016-2020"
"202","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_006",349,257,"American Community Survey, 5 year sample, 2016-2020"
"203","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_007",25,38,"American Community Survey, 5 year sample, 2016-2020"
"204","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_008",55,85,"American Community Survey, 5 year sample, 2016-2020"
"205","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_009",46,53,"American Community Survey, 5 year sample, 2016-2020"
"206","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_010",85,81,"American Community Survey, 5 year sample, 2016-2020"
"207","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_011",416,184,"American Community Survey, 5 year sample, 2016-2020"
"208","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_012",244,156,"American Community Survey, 5 year sample, 2016-2020"
"209","13059130602","Census Tract 1306.02, Clarke County, Georgia","C24070_013",64,57,"American Community Survey, 5 year sample, 2016-2020"
