School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERAFFOR,0.862,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERAFFOR,7.333,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERAFFOR,0,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERAFFOR,7.194,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERUNINS,15.615,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERUNINS,8.854,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERUNINS,16,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERUNINS,17.857,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,PERUNINS,14.737,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,PERUNINS,4.717,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,PERUNINS,22.047,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,PERUNINS,18.038,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,PERUNINS,24.022,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,PERUNINS,25.806,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,PERUNINS,8.553,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,PERUNINS,10.329,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,PERUNINS,6.034,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,PERUNINS,8,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,PERUNINS,8.475,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,PERUNINS,13.669,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,AVAIANSP,65,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,AVAIANSP,142,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,AVAIANSP,200,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,AVAIANSP,71,-99
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,AVAIANSP,40,-99
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,AVAIANSP,152,-99
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,AVAIANSP,188,-99
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,AVAIANSP,85,-99
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,AVAIANSP,86,-99
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,AVAIANSP,122,-99
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,AVAIANSP,118,-99
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,AVAIANSP,63,-99
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,AVAIANSP,72,-99
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,AVAIANSP,125,-99
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,AVAIANSP,68,-99
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,AVAIANSP,153,-99
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,PERGREEN,31.05,-99
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,PERGREEN,81.29,-99
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,PERGREEN,49.75,-99
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,PERGREEN,81.64,-99
