School,acc_naics1,D1,D2,D3
Oglethorpe,BEER/WINE PKG/SUNDAY SALES,0.8900358605583047,0.955099141995119,1.0477740928138628
Timothy Rd.,BEER/WINE PKG/SUNDAY SALES,0.6340536282479504,0.7351019252954866,0.8297686814506867
Whit Davis,BEER/WINE PKG/SUNDAY SALES,1.8863798816198594,1.9444195348784368,1.996262519182141
Whitehead Rd.,BEER/WINE PKG/SUNDAY SALES,0.9593665381308025,1.0716107951470983,1.295919432169108
Winterville,BEER/WINE PKG/SUNDAY SALES,1.5196597566576568,1.6538162614143102,1.7414229465840354
Alps Road,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.2947482054357515,0.43114214665614065,0.5032866162594044
Barnett Shoals,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.9791749066753549,1.0369500391051156,1.2230160365104523
Barrow,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.4797802567383422,0.5188265838585895,0.6775849677812821
Chase Street,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.36082707009266746,0.5247807191340313,0.6392865716137106
Choice Zone-East,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.5980785097714069,0.8350081161604826,1.0437803307085796
Choice Zone-West,BEER/WINE/LIQUOR ON PREMI/SUNDAY,1.7464334001405293,2.313226301073638,2.5719482346892812
Cleveland Road,BEER/WINE/LIQUOR ON PREMI/SUNDAY,1.4697680908325947,1.7062897646206743,1.808074937936167
Fowler Drive,BEER/WINE/LIQUOR ON PREMI/SUNDAY,2.2384500173465236,2.516957045934124,2.6572011614622335
Gaines,BEER/WINE/LIQUOR ON PREMI/SUNDAY,0.7736549226425582,0.9276927183455221,0.9413966791640163
