School,SchoolID,Mschool,Latitude,Longitude,Hschool,var,est,moe,description
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,L1000,81.2,-99,"Streetlights per 1,000 People"
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,L1000,64,-99,"Streetlights per 1,000 People"
Fowler Drive,7,Coile,33.989722456,-83.3621713671,Cedar Shoals,L1000,150.7,-99,"Streetlights per 1,000 People"
Gaines,8,Hilsman,33.9297014825,-83.3372271615,Cedar Shoals,L1000,50,-99,"Streetlights per 1,000 People"
Howard B Stroud,9,Coile,33.9734994485,-83.3586638456,Cedar Shoals,L1000,47.7,-99,"Streetlights per 1,000 People"
Judia Jackson Harris,10,Coile,34.0097015792,-83.3452724549,Cedar Shoals,L1000,201.4,-99,"Streetlights per 1,000 People"
Choice Zone-East,11,Hilsman,33.9353184771,-83.3256712448,Cedar Shoals,L1000,57.1,-99,"Streetlights per 1,000 People"
Oglethorpe,12,BHL,33.9633574328,-83.4224229953,Clarke Central,L1000,78.7,-99,"Streetlights per 1,000 People"
Timothy Rd.,13,Clarke Middle,33.9373269012,-83.4457597895,Clarke Central,L1000,40.8,-99,"Streetlights per 1,000 People"
Whit Davis,14,Hilsman,33.9040036439,-83.3175820991,Cedar Shoals,L1000,78,-99,"Streetlights per 1,000 People"
Whitehead Rd.,15,BHL,33.9810945049,-83.435788007,Clarke Central,L1000,105.6,-99,"Streetlights per 1,000 People"
Winterville,16,Coile,33.9697303743,-83.2894646812,Cedar Shoals,L1000,83.5,-99,"Streetlights per 1,000 People"
Alps Road,1,Clarke Middle,33.9439455234,-83.4075447231,Clarke Central,DRIVEWAY,0.3,-99,Driveways per Household
Barnett Shoals,2,Hilsman,33.9025447139,-83.3379342984,Cedar Shoals,DRIVEWAY,0.54,-99,Driveways per Household
Barrow,3,Clarke Middle,33.9415178881,-83.3829765063,Clarke Central,DRIVEWAY,0.32,-99,Driveways per Household
Choice Zone-West,4,BHL,34.000537,-83.425467,Clarke Central,DRIVEWAY,0.83,-99,Driveways per Household
Chase Street,5,Clarke Middle,33.9647436136,-83.3941499392,Clarke Central,DRIVEWAY,0.56,-99,Driveways per Household
Cleveland Road,6,BHL,33.9669974517,-83.5054071061,Clarke Central,DRIVEWAY,0.8,-99,Driveways per Household
