GEOID,est,var,description,source,type,moe
13059150400,56.6159529816338,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150500,53.683116883116874,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150600,53.18272974962538,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150701,66.42029784886927,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150702,37.68839855796378,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150800,379.5345255444217,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059150900,44.348912703910464,med_change_2010to2020_p,Percent Change in Median Building Price per Sq Ft 2010-2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,pct,0
13059000100,496.1486881195896,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000401,120.54926443978654,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000402,196.3483234945804,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000600,251.6551301768092,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059000900,295.19652063374537,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
13059001200,163.16563555528012,avg_bldg_ppsqft_2020,Average Building Price per Square Foot in 2020,Athens-Clarke County Tax Assessor Property Sales Data 2021,count,0
