OID_,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
76,13,43192,02404821,1343192,Kennesaw,Kennesaw city,25,C1,N,N,G4110,A,25162976.000000000000000,264257.000000000000000,+34.0272020,-084.6170900
77,13,42184,02404804,1342184,Jersey,Jersey city,25,C1,N,N,G4110,A,2010153.000000000000000,9508.000000000000000,+33.7168902,-083.8042513
78,13,20064,02404140,1320064,Covington,Covington city,25,C1,N,N,G4110,A,40655430.000000000000000,623453.000000000000000,+33.6054390,-083.8466343
79,13,62244,02404560,1362244,Porterdale,Porterdale city,25,C1,N,N,G4110,A,6160518.000000000000000,127482.000000000000000,+33.5737062,-083.8947866
80,13,71660,02405481,1371660,Social Circle,Social Circle city,25,C1,N,N,G4110,A,37759755.000000000000000,282117.000000000000000,+33.6461391,-083.7127819
81,13,07640,02405257,1307640,Between,Between town,43,C1,N,N,G4110,A,3059527.000000000000000,10270.000000000000000,+33.8176676,-083.8011035
82,13,33896,02403711,1333896,Good Hope,Good Hope city,25,C1,N,N,G4110,A,4771662.000000000000000,71097.000000000000000,+33.7900663,-083.6174465
83,13,80228,02405665,1380228,Walnut Grove,Walnut Grove city,25,C1,N,N,G4110,A,7358631.000000000000000,86482.000000000000000,+33.7478604,-083.8499621
84,13,25720,02403534,1325720,East Point,East Point city,25,C1,N,N,G4110,A,38044328.000000000000000,35702.000000000000000,+33.6711197,-084.4734289
85,13,68516,02405417,1368516,Sandy Springs,Sandy Springs city,25,C1,Y,N,G4110,A,97532878.000000000000000,2239677.000000000000000,+33.9315017,-084.3688886
86,13,49616,02405012,1349616,Mansfield,Mansfield city,25,C1,N,N,G4110,A,2830210.000000000000000,13274.000000000000000,+33.5179903,-083.7349086
87,13,54656,02406984,1354656,Newborn,Newborn town,43,C1,N,N,G4110,A,4130891.000000000000000,26920.000000000000000,+33.5160812,-083.6957374
88,13,58744,02404453,1358744,Oxford,Oxford city,25,C1,N,N,G4110,A,5577412.000000000000000,61162.000000000000000,+33.6283853,-083.8723259
89,13,35324,02403763,1335324,Griffin,Griffin city,25,C1,N,N,G4110,A,36221185.000000000000000,352176.000000000000000,+33.2412522,-084.2766763
90,13,52416,02404292,1352416,Monticello,Monticello city,25,C1,N,N,G4110,A,10776968.000000000000000,299471.000000000000000,+33.2958788,-083.6865838
91,13,23900,02404241,1323900,Douglasville,Douglasville city,25,C1,N,N,G4110,A,59386455.000000000000000,277702.000000000000000,+33.7367803,-084.7010739
92,13,79528,02405653,1379528,Villa Rica,Villa Rica city,25,C1,N,N,G4110,A,37934014.000000000000000,343955.000000000000000,+33.7283645,-084.9166624
93,13,59735,02710337,1359735,Peachtree Corners,Peachtree Corners city,25,C1,N,N,G4110,A,41711330.000000000000000,318297.000000000000000,+33.9671501,-084.2323283
94,13,47252,02406039,1347252,Lone Oak,Lone Oak town,43,C1,N,N,G4110,A,1618314.000000000000000,0.000000000000000,+33.1723522,-084.8173311
95,13,49532,02405006,1349532,Manchester,Manchester city,25,C1,N,N,G4110,A,20754148.000000000000000,93524.000000000000000,+32.8590575,-084.6343739
96,13,77764,02406767,1377764,Turin,Turin town,43,C1,N,N,G4110,A,4130737.000000000000000,17622.000000000000000,+33.3229770,-084.6386920
97,13,69672,02405446,1369672,Senoia,Senoia city,25,C1,N,N,G4110,A,15957376.000000000000000,361137.000000000000000,+33.3076642,-084.5547586
98,13,82720,02405736,1382720,Whitesburg,Whitesburg city,25,C1,N,N,G4110,A,7171095.000000000000000,72125.000000000000000,+33.4920681,-084.9142997
99,13,47196,02404948,1347196,Loganville,Loganville city,25,C1,N,N,G4110,A,19177887.000000000000000,115882.000000000000000,+33.8365021,-083.8961347
